                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6958,                 6.0437,                 4.7587,                0.00667,                      1,                0.06258,                0.01165,                 3.9421,                 5.9747,                 3.9291,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.5915,                 6.4715,                 4.2804,                0.06324,                    0.5,                0.06694,                0.01463,                 3.7841,                 5.2713,                 3.8977,              5.604e-05,              5.604e-05,              5.604e-05
                      3,                 3.4026,                 4.2538,                 3.7033,                0.06324,                    0.5,                0.06694,                0.01463,                 3.7841,                 5.2713,                 3.8977,               8.68e-05,               8.68e-05,               8.68e-05
                      4,                 3.4594,                 4.2523,                 3.5052,                 0.1876,                 0.2345,                0.08271,                0.04285,                 3.2783,                 5.5311,                 3.6789,             0.00011228,             0.00011228,             0.00011228
                      5,                  2.614,                 3.5749,                 2.8239,                 0.1876,                 0.2345,                0.08271,                0.04285,                 3.2783,                 5.5311,                 3.6789,             0.00013248,             0.00013248,             0.00013248
                      6,                 2.8349,                 5.2223,                 3.2168,                 0.1876,                 0.2345,                0.08271,                0.04285,                 3.2783,                 5.5311,                 3.6789,              0.0001474,              0.0001474,              0.0001474
                      7,                 1.9366,                 6.3095,                 3.0548,                 0.1876,                 0.2345,                0.08271,                0.04285,                 3.2783,                 5.5311,                 3.6789,             0.00015704,             0.00015704,             0.00015704
                      8,                 2.0567,                 5.3391,                 2.6328,                 0.1876,                 0.2345,                0.08271,                0.04285,                 3.2783,                 5.5311,                 3.6789,              0.0001614,              0.0001614,              0.0001614
                      9,                 2.8814,                 6.6615,                 3.4242,                 0.1876,                 0.2345,                0.08271,                0.04285,                 3.2783,                 5.5311,                 3.6789,             0.00016048,             0.00016048,             0.00016048
                     10,                 2.7102,                 6.5695,                 3.1398,                 0.1876,                 0.2345,                0.08271,                0.04285,                 3.2783,                 5.5311,                 3.6789,             0.00015428,             0.00015428,             0.00015428
                     11,                 2.4644,                 5.7517,                 3.2218,                0.05816,                   0.75,                0.08625,                0.03412,                  2.754,                 5.1826,                 3.4735,              0.0001428,              0.0001428,              0.0001428
                     12,                 2.2424,                 4.8629,                 2.9757,                0.05816,                   0.75,                0.08625,                0.03412,                  2.754,                 5.1826,                 3.4735,             0.00012604,             0.00012604,             0.00012604
                     13,                 2.5624,                 6.3536,                 3.3927,                0.05816,                   0.75,                0.08625,                0.03412,                  2.754,                 5.1826,                 3.4735,               0.000104,               0.000104,               0.000104
                     14,                 2.7808,                  5.045,                 2.9754,                0.05816,                   0.75,                0.08625,                0.03412,                  2.754,                 5.1826,                 3.4735,              7.668e-05,              7.668e-05,              7.668e-05
                     15,                 1.2598,                 4.6369,                 2.6858,                0.05816,                   0.75,                0.08625,                0.03412,                  2.754,                 5.1826,                 3.4735,              4.408e-05,              4.408e-05,              4.408e-05
